NAME,EMAIL,PHONE
Abhijit Banerjee,AbhijitBanerjee@google.com,(422) 599-3601
Esther Duflo,EstherDuflo@google.com,(867) 220-2983
Michael Kremer,MichaelKremer@google.com,(904) 472-4957
John B. Goodenough,JohnB.Goodenough@google.com,(900) 489-3288
M. Stanley Whittingham,M.StanleyWhittingham@google.com,(583) 936-1967
Jim Peebles,JimPeebles@google.com,(475) 760-8812
William Kaelin Jr.,WilliamKaelinJr.@google.com,(714) 204-4617
Gregg L. Semenza,GreggL.Semenza@google.com,(713) 781-3598
Paul Romer,PaulRomer@google.com,(391) 951-6948
William Nordhaus,WilliamNordhaus@google.com,(620) 421-8855
George P. Smith,GeorgeP.Smith@google.com,(915) 758-8555
Frances Arnold,FrancesArnold@google.com,(477) 620-8637
Arthur Ashkin,ArthurAshkin@google.com,(612) 496-6569
James Allison,JamesAllison@google.com,(783) 895-6542
Richard H. Thaler,RichardH.Thaler@google.com,(295) 884-0311
Joachim Frank,JoachimFrank@google.com,(947) 852-1262
Rainer Weiss,RainerWeiss@google.com,(964) 312-6131
Kip Thorne,KipThorne@google.com,(212) 210-0086
Barry Barish,BarryBarish@google.com,(352) 885-0971
Michael W. Young,MichaelW.Young@google.com,(513) 759-0633
Michael Rosbash,MichaelRosbash@google.com,(772) 522-6410
Jeffrey C. Hall,JeffreyC.Hall@google.com,(395) 260-6707
Bob Dylan,BobDylan@google.com,(878) 870-0188
Oliver Hart,OliverHart@google.com,(313) 737-7706
Fraser Stoddart,FraserStoddart@google.com,(261) 232-2837
F. Duncan M. Haldane,F.DuncanM.Haldane@google.com,(871) 808-6815
John M. Kosterlitz,JohnM.Kosterlitz@google.com,(547) 978-3449
Angus Deaton,AngusDeaton@google.com,(801) 501-6333
Paul L. Modrich,PaulL.Modrich@google.com,(990) 738-0930
Aziz Sancar,AzizSancar@google.com,(678) 840-6395
William C. Campbell,WilliamC.Campbell@google.com,(389) 268-2785
William E. Moerner,WilliamE.Moerner@google.com,(909) 370-1917
Eric Betzig,EricBetzig@google.com,(409) 331-4670
Shuji Nakamura,ShujiNakamura@google.com,(373) 778-0321
John O'Keefe*,JohnO'Keefe*@google.com,(894) 689-8776
Robert J. Shiller,RobertJ.Shiller@google.com,(714) 462-2484
Lars Peter Hansen,LarsPeterHansen@google.com,(440) 453-1998
Eugene F. Fama,EugeneF.Fama@google.com,(723) 212-3101
Arieh Warshel,AriehWarshel@google.com,(329) 960-9216
Michael Levitt,MichaelLevitt@google.com,(602) 783-2885
Martin Karplus,MartinKarplus@google.com,(307) 532-9046
Randy Schekman,RandySchekman@google.com,(856) 306-8694
Thomas C. Südhof,ThomasC.Südhof@google.com,(203) 966-2627
James Rothman,JamesRothman@google.com,(919) 274-7329
Alvin E. Roth,AlvinE.Roth@google.com,(436) 699-5802
Lloyd S. Shapley,LloydS.Shapley@google.com,(614) 636-8194
Brian K. Kobilka,BrianK.Kobilka@google.com,(776) 219-7543
Robert J. Lefkowitz,RobertJ.Lefkowitz@google.com,(687) 291-6219
David J. Wineland,DavidJ.Wineland@google.com,(871) 915-9165
Christopher A. Sims,ChristopherA.Sims@google.com,(864) 930-4109
Thomas J. Sargent,ThomasJ.Sargent@google.com,(284) 796-3403
Saul Perlmutter,SaulPerlmutter@google.com,(956) 564-7339
Brian P. Schmidt,BrianP.Schmidt@google.com,(593) 977-1608
Adam G. Riess,AdamG.Riess@google.com,(661) 562-5753
Ralph M. Steinman,RalphM.Steinman@google.com,(418) 422-9097
Bruce Beutler,BruceBeutler@google.com,(818) 383-6154
Peter A. Diamond,PeterA.Diamond@google.com,(841) 509-4561
Dale T. Mortensen,DaleT.Mortensen@google.com,(274) 942-1468
Ei-ichi Negishi,Ei-ichiNegishi@google.com,(574) 864-3326
Richard F. Heck,RichardF.Heck@google.com,(817) 772-4319
Elinor Ostrom,ElinorOstrom@google.com,(306) 937-7900
Oliver Eaton Williamson,OliverEatonWilliamson@google.com,(812) 230-2149
Barack H. Obama,BarackH.Obama@google.com,(791) 909-4519
Venkatraman Ramakrishnan,VenkatramanRamakrishnan@google.com,(817) 957-6154
Thomas A. Steitz,ThomasA.Steitz@google.com,(618) 532-3634
Willard S. Boyle,WillardS.Boyle@google.com,(390) 731-7198
Charles K. Kao,CharlesK.Kao@google.com,(233) 995-4548
George E. Smith,GeorgeE.Smith@google.com,(567) 738-9277
Elizabeth Blackburn,ElizabethBlackburn@google.com,(309) 248-4962
Carol W. Greider,CarolW.Greider@google.com,(843) 596-1272
Jack W. Szostak,JackW.Szostak@google.com,(726) 843-2157
Paul Krugman,PaulKrugman@google.com,(809) 978-6985
Roger Yonchien Tsien,RogerYonchienTsien@google.com,(828) 702-6316
Martin Chalfie,MartinChalfie@google.com,(827) 712-6802
Osamu Shimomura,OsamuShimomura@google.com,(836) 994-7903
Yoichiro Nambu,YoichiroNambu@google.com,(714) 928-9512
Leonid Hurwicz,LeonidHurwicz@google.com,(584) 777-3794
Eric S. Maskin,EricS.Maskin@google.com,(469) 851-4345
Roger B. Myerson,RogerB.Myerson@google.com,(937) 700-3409
Al Gore,AlGore@google.com,(351) 544-4680
Mario R. Capecchi,MarioR.Capecchi@google.com,(336) 977-5975
Oliver Smithies,OliverSmithies@google.com,(231) 421-7508
Roger D. Kornberg,RogerD.Kornberg@google.com,(900) 216-9429
John C. Mather,JohnC.Mather@google.com,(344) 555-1332
Edmund S. Phelps,EdmundS.Phelps@google.com,(207) 684-5514
George F. Smoot,GeorgeF.Smoot@google.com,(255) 808-3752
Andrew Z. Fire,AndrewZ.Fire@google.com,(989) 583-7678
Craig C. Mello,CraigC.Mello@google.com,(882) 442-6278
Robert Aumann*,RobertAumann*@google.com,(624) 544-7715
Robert H. Grubbs,RobertH.Grubbs@google.com,(970) 856-7051
Richard R. Schrock,RichardR.Schrock@google.com,(941) 979-1073
Thomas Schelling,ThomasSchelling@google.com,(228) 640-8602
John L. Hall,JohnL.Hall@google.com,(346) 704-2204
Roy J. Glauber,RoyJ.Glauber@google.com,(321) 528-4690
Irwin Rose,IrwinRose@google.com,(382) 994-4404
Edward C. Prescott,EdwardC.Prescott@google.com,(910) 527-5451
David J. Gross,DavidJ.Gross@google.com,(302) 825-6561
